seed	vmh
cpd02775	4ampm
cpd02784	23doguln
cpd02791	5mdru1p
cpd02799	micit
cpd02817	cob
cpd02820	uaccg
cpd02826	fpram
cpd02828	5cmhmsa
cpd02835	u23ga
cpd02843	eig3p
cpd02851	aicar
cpd02857	2dda7p
cpd02862	uGgla
cpd02882	4r5au
cpd02884	fprica
cpd02886	u3aga
cpd02893	5aizc
cpd02894	2mahmp
cpd02904	5prdmbz
cpd02918	C04805
cpd02920	6hmhptpp
cpd02921	25aics
cpd02930	lipidX
cpd02935	comSScob
cpd02948	uaGgla
cpd02961	dhnpt
cpd02964	ugmd
cpd02967	acbdma14gapuc
cpd02968	ugmda
cpd02978	ahdt
cpd02979	prfp
cpd02991	prlp
cpd02993	lipidA
cpd02999	gda1_hs
cpd03002	lipidAds
cpd03034	3uib
cpd03047	tchola
cpd03048	isetac
cpd03049	hethmpp
cpd03052	im4act
cpd03058	17ahprgnlone
cpd03059	eandrstrn
cpd03063	3aib
cpd03078	selnp
cpd03091	dad_5
cpd03104	3abutcoa
cpd03113	3hhdcoa
cpd03114	3ohdcoa
cpd03115	3htdcoa
cpd03116	3hddcoa
cpd03117	3oddcoa
cpd03118	3hdcoa
cpd03119	3odcoa
cpd03120	3hocoa
cpd03121	3oocoa
cpd03122	3hhcoa
cpd03123	3ohcoa
cpd03124	hxcoa
cpd03125	hx2coa
cpd03126	hdd2coa
cpd03127	td2coa
cpd03128	dcacoa
cpd03129	dc2coa
cpd03130	oc2coa
cpd03148	chloropha
cpd03161	peamn
cpd03163	selmeth
cpd03164	dcholcoa
cpd03176	5HPET
cpd03187	HC01434
cpd03189	HC01435
cpd03193	HC01440
cpd03194	lac6p
cpd03197	HC01444
cpd03198	melib
cpd03200	mantr
cpd03205	phytn
cpd03211	15phytn
cpd03214	phyldpp
cpd03221	zymst
cpd03227	xol7ah3
cpd03228	xol7ah2al
cpd03231	CE5166
cpd03233	HC01459
cpd03234	xol7ah
cpd03236	xoldioloneh
cpd03238	xol7aone
cpd03244	tdechola
cpd03246	tdchola
cpd03247	dgchol
cpd03248	cholcoaone
cpd03268	11docrtsl
cpd03279	din
cpd03284	3snpyr
cpd03285	spyr
cpd03287	oxag
cpd03289	acamoxm
cpd03293	biocyt
cpd03297	l2aadipad
cpd03306	34dhoxpeg
cpd03307	34dhmald
cpd03320	3hphac
cpd03326	2hh24dd
cpd03343	pppn
cpd03349	5hxkynam
cpd03362	5hxkyn
cpd03372	hicit
cpd03375	3hpcoa
cpd03379	cmp2amep
cpd03388	adsel
cpd03393	seahcys
cpd03395	3padsel
cpd03397	selhcys
cpd03398	selcyst
cpd03407	HC01577
cpd03411	gtspmd
cpd03414	HC01609
cpd03416	cpppg1
cpd03420	pre3a
cpd03421	cobya
cpd03422	cbi
cpd03423	rdmbzi
cpd03424	cbl3
cpd03426	scl
cpd03443	3ophb
cpd03444	2oph
cpd03445	2ohph
cpd03446	2omph
cpd03447	2ombz
cpd03448	2ommb
cpd03449	ocmhmxbq
cpd03451	2shchc
cpd03454	3cmp
cpd03455	mercplac
cpd03468	2coum
cpd03469	bdg2hc
cpd03470	iasp
cpd03471	nicrns
cpd03480	2hyoxplac
cpd03485	acmam
cpd03487	uaaAgla
cpd03488	uaaAgtla
cpd03491	uaaGgla
cpd03492	uaaGgtla
cpd03494	uagmda
cpd03495	uaagmda
cpd03496	uaagtmda
cpd03517	btamp
cpd03518	HC01651
cpd03519	HC01652
cpd03521	dhpmp
cpd03524	10forthfglu
cpd03525	sucglu
cpd03526	sucgsa
cpd03527	nwharg
cpd03535	argp
cpd03555	15HPET
cpd03560	HC01668
cpd03561	2hb
cpd03571	lald
cpd03572	3hibutcoa
cpd03583	ab6p3hxl
cpd03584	u3hga
cpd03585	kdolipid4
cpd03586	kdo2lipid4
cpd03587	lipa
cpd03589	mescoa
cpd03606	ohpb
cpd03607	phthr
cpd03608	4hthr
cpd03646	HC01700
cpd03660	gt1b_hs
cpd03661	gd1b_hs
cpd03662	btoh
cpd03666	HC01710
cpd03671	gam1p
cpd03688	1mpyr
cpd03696	arbt
cpd03697	arbt6p
cpd03698	salc6p
cpd03701	3gmp
cpd03702	23cgmp
cpd03706	up4g
cpd03707	C06199
cpd03708	24dhhed
cpd03724	fecrm
cpd03725	fe3dcit
cpd03732	uacmamu
cpd03734	ad
cpd03736	kdo2lipid4L
cpd03752	galt1p
cpd03760	pre6b
cpd03761	pre6a
cpd03762	bz12diol
cpd03813	galam6p
cpd03830	adphep_DD
cpd03831	adphep_LD
cpd03832	hgbyr
cpd03833	pre3b
cpd03834	pre4
cpd03835	pre8
cpd03839	pre5
cpd03846	octa
cpd03847	ttdca
cpd03848	arach
cpd03849	lnlncg
cpd03850	lnlnca
cpd03851	tmndnc
cpd03852	crvnc
cpd03861	xu1p_L
cpd03897	thbpt4acam
cpd03913	hgbam
cpd03914	co2dam
cpd03915	co1dam
cpd03916	adcobdam
cpd03917	adcobhex
cpd03918	adocbi
cpd03919	adocbip
cpd03920	agdpcbi
cpd04097	Pb
cpd04098	aso3
cpd04117	4mcat
cpd04122	aacald
cpd04242	d5kg
cpd04539	amopbut_L
cpd04918	gmhep7p
cpd04920	gmhep1p
cpd05196	docosac
cpd05231	doco13ac
cpd05235	ttc
cpd05238	nrvnc
cpd06227	thfglu
cpd06707	bzam
cpd07744	ecgon
cpd07946	4hbutcoa
cpd08021	dmso
cpd08023	mso3
cpd08210	4adcho
cpd08211	ttc_ggdp
cpd08286	2me4p
cpd08287	4c2me
cpd08288	2p4c2me
cpd08289	dxyl5p
cpd08301	2mecdp
cpd08304	3hpppn
cpd08305	ctbt
cpd08306	butb
cpd08316	gmhep17bp
cpd08353	aconm
cpd08366	pslac
cpd08368	copre2
cpd08369	copre3
cpd08370	copre4
cpd08371	copre5
cpd08372	copre6
cpd08373	copre6b
cpd08375	copre8
cpd08405	cechddd
cpd08449	3a2opp
cpd08615	h2mb4p
cpd08625	C11821
cpd08629	hmppp9mme
cpd08630	oxomppp9mme
cpd08631	dvprotochloroph
cpd08632	dvchlphyllide
cpd08636	dhptd
cpd08701	mphze
cpd08702	dhmphze
cpd08928	thrp
cpd09027	5hxudidzcba
cpd09200	pecgon
cpd09252	3hcinnm
cpd09253	cenchddd
cpd09254	dhcinnm
cpd09255	hkntd
cpd09349	acaadp
cpd09350	acaadpdp
cpd09351	acaadpsal
cpd09352	aclys
cpd09410	dmphqno
cpd09461	xol24oh
cpd09791	3msaclt
cpd09801	2mnptl
cpd09806	mcrea
cpd09812	4hmsaclt
cpd09813	4hmcachl
cpd09818	np2msucc
cpd09819	np2msucccoa
cpd09844	3hadpcoa
cpd09878	sulfac
cpd09879	hmgth
cpd10162	3h3mop
cpd10515	fe2
cpd10516	fe3
cpd10548	C14851
cpd10596	3dhgulnp
cpd11177	CE1617
cpd11198	xoltri24
cpd11206	pre1
cpd11209	Naccitr_L
cpd11217	14dhnptcoa
cpd11225	db4p
cpd11255	dhmtp
cpd11295	dkmpp
cpd11296	hkmpp
cpd11313	hemeO
cpd11341	ggbutal
cpd11408	gg4abut
cpd11416	biomass
cpd11420	trdox
cpd11421	trdrd
cpd11425	2dmmq7
cpd11430	fa1
cpd11431	fa11
cpd11432	ihpdcoa
cpd11433	fa12
